numero_expediente,empresa,estado,municipio_o_delegacion,clinica_veterinaria,farmacia_veterinaria,hospital_veterinario
0025-09-14,Julio Escalante de Icaza,Ciudad de Mexico,Coyoacan,si,si,no
0026-09-14,Facultad de Medicina Veterinaria y Zootecnia de la Universidad Nacional Autonoma de Mexico,Ciudad de Mexico,Coyoacan,si,si,si
0027-30-14,Edith Camacho Pitalua,Veracruz,Veracruz,si,si,si
0028-09-14,Jorge Ramon Gutierrez Alfaro,Ciudad de Mexico,Iztacalco,si,no,no
0029-21-14,Dolores Limon Palestina,Puebla,Guadalupe Victoria,no,si,no
0030-12-14,Bulmaro Ayala Apreza,Guerrero,Zirandaro,no,si,no
0032-09-14,Maria Elena Barrera Gonzalez,Ciudad de Mexico,Miguel Hidalgo,no,si,no
0033-17-14,Ocampo Paz Luz,Morelos,Cuautla,si,si,no
0035-02-14,Oscar Agramont Serralta,Baja California,Mexicali,si,si,no
0036-02-14,Agramont Delgado Oscar Cesar,Baja California,Mexicali,si,si,no
0037-02-14,Ricardo Agramont Serralta,Baja California,Mexicali,si,si,no
0038-09-14,Francisco Javier Servin Juarez,Ciudad de Mexico,Xochimilco,si,no,no
0039-15-14,Forsadi S de Rl de CV,Mexico,Nezahualcoyotl,si,si,si
0040-09-14,Sandro Yoshio Romero Mosco,Ciudad de Mexico,Iztacalco,si,no,no
0041-23-14,Olga Ruth Gamboa Vela,Quintana Roo,Benito Juarez,si,no,no
0042-23-14,Alfredo Polanco Ricalde,Quintana Roo,Benito Juarez,si,no,no
0043-23-14,Sandra Luz Valdez Morales,Quintana Roo,Solidaridad,si,si,no
0044-25-14,Rodeo Rs SA de CV,Sinaloa,Culiacan,si,no,no
0045-09-14,Banfield International de Mexico S de Rl de CV,Ciudad de Mexico,Coyoacan,no,no,si
0047-20-14,Ines Lopez Luis,Oaxaca,Santo Domingo Teojomulco,no,si,no
0048-23-14,Wilbert Francisco Perez Parra,Quintana Roo,Benito Juarez,si,no,no
0050-09-14,Jorge Netzahualcoyotl Aguilar Rodriguez,Ciudad de Mexico,Ciudad de Mexico,si,no,no
0051-02-14,Roberto Cuen Macias,Baja California,Tijuana,no,no,no
0052-02-14,Jose Luis Perez Galan,Baja California,Tijuana,no,si,no
0053-23-14,Leonor del Carmen Garcia Torre,Quintana Roo,Benito Juarez,no,si,no
0054-23-14,Santa Cruz Campos Torre,Quintana Roo,Benito Juarez,no,si,no
0055-19-14,Esmeralda Marisol Hernandez Cardenas,Nuevo Leon,Linares,no,si,no
0056-21-14,De la Cruz Candia Maria Antonia,Puebla,Tecamachalco,no,si,no
0057-21-14,Juan Carlos Gomez Ramirez,Puebla,Tehuacan,si,no,si
0058-23-14,Rodolfo Jimenez Canet Ramirez,Quintana Roo,Solidaridad,no,no,no
0059-21-14,Elias Neftali Herrera Zafra,Puebla,Tehuacan,no,no,no
0060-09-14,Juan Manuel Cuetara Llaca,Ciudad de Mexico,Benito Juarez,si,no,si
0061-02-14,Nordistribuciones Veterinarias SA de CV,Baja California,Mexicali,si,si,si
0063-02-14,Gama Gomez Carlos,Baja California,Tijuana,no,no,no
0064-09-14,Ana Luisa Hurtado Mateos,Ciudad de Mexico,Iztacalco,si,no,no
0065-09-14,Erick Mendez Zetina,Ciudad de Mexico,Iztacalco,no,no,no
0066-12-14,Mario Salas Tellez,Guerrero,Arcelia Guerrero,no,si,no
0067-09-14,David Mendez Rascon,Ciudad de Mexico,Gustavo a Madero,si,no,si
0068-16-14,Jose Hugo Guerrero Pacheco,Michoacan,Uruapan,si,si,si
0069-16-14,Maria Teresa Chavez Urueta,Michoacan,Uruapan,si,si,si
0070-14-14,Juan Alberto del Rio Martin del Campo,Jalisco,Tepatitlan de Morelos,si,no,no
0071-14-14,Giovanna Venice Penilla Fernandez,Jalisco,Zapopan,si,no,no
0072-27-14,Abel Bedoy Rodriguez,Tabasco,Centla,no,si,no
0073-27-14,Martinez Diaz Leticia,Tabasco,Centro,no,si,no
0074-27-14,Oscar Fernandez Acuna,Tabasco,Comalcalco,si,no,no
0075-14-14,World Animal Clinica Veterinaria SA de CV,Jalisco,Zapopan,no,no,si
0076-18-14,Miguel Dibildox del Valle,Nayarit,Tepic,si,si,no
0077-18-14,Ana Cecilia Rojas Virgen,Nayarit,Tepic,si,si,no
0078-02-14,Francisca Lozano Aldana,Baja California,Tijuana,si,si,no
0079-02-14,Mirna Mireya Millan Varela,Baja California,Tijuana,si,si,si
0080-02-14,Julio Cesar Garcia Vazquez,Baja California,Tijuana,si,no,no
0081-02-14,Bernardo Lopez Fonseca,Baja California,Tijuana,si,si,si
0082-02-14,Carlos Nicolas Lopez Fonseca,Baja California,Tijuana,si,si,si
0083-18-14,Rodriguez Ledesma Monica Cirenia,Nayarit,Santiago Ixcuintla,no,si,no
0084-18-14,Medina Urenda Ruben,Nayarit,Ruiz,no,si,no
0085-02-14,Mercedes Fonseca Bojorquez,Baja California,Tijuana,si,si,si
0086-02-14,Ernesto Quevedo Castro,Baja California,Tijuana,si,si,no
0087-02-14,Victor Francisco Valencia Mendivil,Baja California,La Presa,si,si,si
0088-02-14,Jose Alfredo Escalera Moreno,Baja California,Tijuana,si,si,no
0089-02-14,Marco Antonio Aldana Bonilla,Baja California,Tijuana,si,si,si
0091-18-14,Zaida Maria Chavez Chalita,Nayarit,Tepic,no,si,no
0092-18-14,Gabriel Amparo Tello,Nayarit,Tepic,no,si,no
0093-18-14,Sergio Margarito Gonzalez Velazquez,Nayarit,Xalisco,no,si,no
0094-02-14,Luis Alfonso Lopez Fonseca,Baja California,Tijuana,si,si,si
0095-02-14,Jose Martin Lugo Calderon,Baja California,Tijuana,si,si,no
0096-02-14,Jose Luis Gomez Garcia,Baja California,Tijuana,si,no,no
0097-27-14,Alberto de la Cruz Hernandez,Tabasco,Jalapa,no,si,no
0098-27-14,Jose Victor Hernandez Pacheco,Tabasco,Centro,si,no,no
0099-31-14,Pedro Armando Carrillo Montero,Yucatan,Merida,no,si,no
0100-09-14,Clinica Veterinaria Casaubon Sc,Ciudad de Mexico,Coyoacan,si,no,si
0101-09-14,Sofia Macias Garcia,Ciudad de Mexico,Coyoacan,no,si,no
0102-09-14,Luis Angel Bedolla Sarabia,Ciudad de Mexico,Coyoacan,si,no,no
0103-18-14,Viridiana Grisel Arreola Monroy,Nayarit,Tepic,si,no,no
0104-16-14,Espinosa Barragan Gabriel,Michoacan,Uruapan,si,si,no
0105-09-14,Tobon Cabrera Miguel,Ciudad de Mexico,Iztacalco,si,no,no
0106-15-14,Ernesto Urzua Gonzalez,Mexico,Tlalnepantla de Baz,si,si,si
0107-23-14,Jose Luis Najar Ramirez,Quintana Roo,Benito Juarez,si,si,si
0108-02-14,Jose Bonilla Sanchez,Baja California,Tijuana,si,si,si
0109-02-14,Dagoberto Gutierrez Borrayo,Baja California,Tijuana,si,no,no
0110-14-14,Artemisa Ramirez Escobedo,Jalisco,Tlajomulco de Zuniga,si,si,no
0001-09-15,Clinica Integral Veterinaria Lan SA de CV,Ciudad de Mexico,Cuauhtemoc,si,no,si
0002-07-15,Maria del Carmen Anza Varela,Chiapas,Tuxtla Gutierrez,si,si,no
0003-07-15,Olena Gehrke Portilla,Chiapas,Tuxtla Gutierrez,si,si,si
0005-09-15,Sofia Vargas Trujillo,Ciudad de Mexico,Benito Juarez,si,no,si
0006-09-15,Rodolfo Reyes Flores,Ciudad de Mexico,Miguel Hidalgo,si,si,no
0007-09-15,Edelmira Montes Mora,Ciudad de Mexico,Tlahuac,si,si,no
0008-13-15,Irma Medrano Reyes,Hidalgo,Zacualtipan de Angeles,si,no,no
0009-16-15,Viridiana Penaloza Diaz,Michoacan,Morelia,si,no,no
0010-02-15,Francisco Ramos Alvarez,Baja California,Tijuana,si,si,si
0011-09-15,Asuncion Cupil Lopez,Ciudad de Mexico,Tlalpan,no,no,no
0012-01-15,Nabor Larios Magdaleno,Aguascalientes,Aguascalientes,si,si,si
0013-21-15,Genaro Andres Velazquez Reyes,Puebla,Tehuacan,si,no,no
0014-16-15,Rosa Martha Villegas Sanchez,Michoacan,Morelia,si,si,no
0015-05-15,Morales Garibay Hector,Coahuila,San Buenaventura,si,si,no
0016-09-15,Manuel Hernandez Gonzalez,Ciudad de Mexico,Magdalena Contreras,si,si,no
0017-09-15,Jorge Eduardo Corona Barroso,Ciudad de Mexico,Coyoacan,si,si,no
0018-09-15,Vazquez Lopez Juan Martin,Ciudad de Mexico,Iztacalco,si,no,no
0019-30-15,Araceli Mendoza Hernandez,Veracruz,Xalapa,si,si,no
0020-02-15,Fidel Lozano Gaspar,Baja California,Tecate,no,si,si
0021-09-15,Federacion Canofila Mexicana Ac,Ciudad de Mexico,Tlalpan,si,no,si
0023-09-15,Hermilo Garcia Mayen,Ciudad de Mexico,Iztacalco,si,si,si
0024-02-15,Maria Esperanza Bojorquez Gastelum,Baja California,Tecate,no,si,no
0025-14-15,Arturo de la Torre Aceves,Jalisco,Guadalajara,si,si,no
0026-14-15,Adan Sanchez Rosales,Jalisco,Guadalajara,si,si,no
0027-14-15,Alvaro Garcia Alvarez,Jalisco,Zapopan,si,no,no
0028-14-15,Erika Magdalena Perez Mejia,Jalisco,Zapopan,si,si,no
0029-27-15,Blanca Patricia Hernandez Belueta,Tabasco,Centro,no,si,no
0030-09-15,Salazar Bedolla Elizabeth,Ciudad de Mexico,Iztacalco,no,si,no
0031-14-15,Altagracia Isabel Garcia Cortes,Jalisco,Guadalajara,si,si,no
0032-14-15,Jaime Hernandez Rizo,Jalisco,Guadalajara,si,si,no
0034-02-15,Maria Luisa Moreno Reyes,Baja California,Tijuana,no,si,no
0035-27-15,Virginia Calix Triano,Tabasco,Cardenas,no,si,no
0036-30-15,Gallegos Carcamo Juan Tomas,Veracruz,Veracruz,si,no,no
0037-15-15,Avila Segura Enrique Bernabe,Mexico,Toluca,si,si,no
0039-23-15,Sara Detamahar Diaz Garcia,Quintana Roo,Benito Juarez,no,no,no
0040-07-15,Kobat Especialistas En Fauna Silvestre SA de CV,Chiapas,Tuxtla Gutierrez,si,no,no
0041-22-15,Maria Concepcion Botello Barcenas,Queretaro,Queretaro,si,no,no
0042-09-15,Erick Lopez Vazquez,Ciudad de Mexico,Tlahuac,si,si,no
0043-22-15,Fortunato Sanchez Murillo,Queretaro,Queretaro,no,si,no
0044-16-15,Jesus Camacho Calderon,Michoacan,Morelia,si,no,no
0045-02-15,Alfonso Gomez Contreras,Baja California,Tecate,si,si,no
0046-16-15,Gabriela Arnaud Perez,Michoacan,Morelia,si,no,no
0047-09-15,Veterinaria Tollocan SA de CV,Ciudad de Mexico,Benito Juarez,no_,no,si
0048-16-15,Rosa Isela Hernandez Alvarez,Michoacan,Morelia,si,si,no
0049-30-15,Antonio Martinez Valero,Veracruz,Veracruz,si,no,no
0050-02-15,Armendariz Arroyo Maria de Los Angeles,Baja California,Tecate,no,si,si
0051-12-15,Jose Luis Rodriguez Lopez,Guerrero,Pungarabato,no,si,no
0052-02-15,Gaxiola Santos Arlette Iliana,Baja California,Mexicali,si,si,no
0053-02-15,Gaxiola Santos Jorge Humberto,Baja California,Mexicali,si,si,no
000055-09-15,Clinica Veterinaria de Especialidades Inguaran Sc,Ciudad de Mexico,Gustavo a Madero,si,si,no
0056-23-15,Urso Augusto Morales Cruz,Quintana Roo,Benito Juarez,si,si,no
0057-14-15,Claudia Lizette Escontria Pita,Jalisco,Puerto Vallarta,si,no,si
0059-21-15,Miguel Angel Gorgonio Pacheco Espinoza,Puebla,San Gabriel Chilac,si,si,si
0060-02-15,Sergio Alejandro Fimbres Maldonado,Baja California,Tecate,no,si,no
0061-09-15,Edna Angelica Gaytan Zamarripa,Ciudad de Mexico,Cuauhtemoc,si,si,no
0063-02-15,Gustavo Cazares Bojorquez,Baja California,Tecate,no,si,no
0064-02-15,Aracely Felix Chaparro,Baja California,Tijuana,si,si,no
0065-08-15,Humberto Carmona Cabral,Chihuahua,Chihuahua,si,si,si
0066-27-15,Campos Andrade Dora Maria,Tabasco,Macuspana,no,si,no
0067-27-15,Guadalupe Madrigal Arias,Tabasco,Jalpa de Mendez,no,si,no
0068-27-15,Ofelia del Carmen Palos Leon,Tabasco,Cardenas,no,si,no
0069-27-15,Noemi Arias Sanchez,Tabasco,Macuspana,no,si,no
0070-08-15,Almacen de Veterinaria el Ganadero SA de CV,Chihuahua,Nuevo Casas Grandes,no,si,no
0073-23-15,Elias Ramos Sanchez,Quintana Roo,Benito Juarez,si,si,no
0074-21-15,Lazaro de Jesus Cortes,Puebla,Santo Tomas Hueyotlipan,no,si,no
0075-27-15,Luciano Hernandez Lopez,Tabasco,Centro,no,si,no
0076-27-15,Maria Cristina Sol Ble,Tabasco,Macuspana,no,si,no
0077-27-15,Willian Villegas Lopez,Tabasco,Centro,no,si,no
0078-14-15,Maria Guadalupe Fernandez Gonzalez,Jalisco,Zapopan,si,si,no
0079-09-15,Rafael Segura Gamez,Ciudad de Mexico,Alvaro Obregon,si,no,no
0081-23-15,Martha Lizbet Diaz Arellanos,Quintana Roo,Cozumel,si,no,no
0082-30-15,Veterinaria el Rancho SA de CV,Veracruz,Acayucan,no,si,no
0083-27-15,Cooperativa Asociacion Ganadera Local de Macuspana Sc de Rl de CV,Tabasco,Macuspana,no,si,no
0084-09-15,David Hernandez Gutierrez,Ciudad de Mexico,Benito Juarez,si,si,si
0085-14-15,Maria de Lourdes Morales Navarrete,Jalisco,Zapopan,si,si,no
0087-14-15,Roberto Sanchez Sandoval,Jalisco,Zapopan,si,no,no
0088-09-15,Sanchez Rodriguez Juan Carlos,Ciudad de Mexico,Gustavo a Madero,si,no,no
0090-09-15,Tanous Hage Jacqueline,Ciudad de Mexico,Alvaro Obregon,si,no,no
0091-21-15,Ajuria Vergara Juan Carlos,Puebla,Acatlan de Ororio,no,si,no
0092-09-15,Lorena Ibarra Rionda,Ciudad de Mexico,Miguel Hidalgo,no,no,no
0093-16-15,Alfonso Jose Medrano Valtierra,Michoacan,Zitacuaro,si,no,no
0094-09-15,Carolina Hernandez Vazquez,Ciudad de Mexico,Iztacalco,si,no,no
0095-02-15,Fernando Sanchez Fernandez,Baja California,Tijuana,si,si,si
0096-09-15,A Mania Todo Para Mascotas y Mucho Mas SA de CV,Ciudad de Mexico,Miguel Hidalgo,no,no,si
0097-31-15,Maria Isabel Gonzalez Villanueva,Yucatan,Merida,no,si,no
0098-16-15,Daniel Alejandro Gomez Pizano,Michoacan,Morelia,no,no,si
0099-16-15,Omar Pineda Herrera,Michoacan,Morelia,si,no,no
0100-09-15,Hernandez Ruiz Manuel Felipe,Ciudad de Mexico,Tlalpan,si,si,no
0101-13-15,Jaime Mejia Garcia,Hidalgo,Cuautepec de Hinojosa,no,no,no
0102-01-15,Alma Elisa de Leon Saldoval,Aguascalientes,Aguascalientes,si,no,si
0104-23-15,Mariana Albacete Orozco,Quintana Roo,Solidaridad,si,si,si
0105-09-15,Gabriela Patricia Perez Palomares,Ciudad de Mexico,Xochimilco,si,si,si
0106-02-15,Davila Reyes Rodolfo,Baja California,Tijuana,no,si,no
0107-15-15,Distribuidora Veterinaria de Medicamentos SA de CV,Mexico,Naucalpan,si_,si_,si_
0108-12-15,Lhia Uranga Ortega,Guerrero,Zihuatanejo de Azueta,no,si,no
0109-12-15,Salvador Ibarra Flores,Guerrero,Zihuatanejo de Azueta,no,si,no
0110-12-15,Rafael Lobato Castro,Guerrero,Zihuatanejo de Azueta,no,si,no
0111-12-15,Ma Guadalupe Ruiz Estrada,Guerrero,Zihuatanejo de Azueta,no,si,no
0112-12-15,Roberto Eduardo Leyva Magana,Guerrero,La Union de Isidoro Montes de Oca,no,si,no
0113-09-15,Luis Martin Villegas Vargas,Ciudad de Mexico,Alvaro Obregon,si,no,no
0115-15-15,Jose Luis Arias Navarro,Mexico,Acambay de Ruiz Castaneda,no,no,no
0116-30-15,Forrajera la Posta SA de CV,Veracruz,Banderilla,no,si,no
0117-15-15,Lazaro Anastacio de la Garza Velazquez,Mexico,Chicoloapan,no,si,no
0118-15-15,Roberto Ramirez Flores,Mexico,Nezahualcoyotl,si,si,no
0119-15-15,Eva Eugenia Tovar Aviles,Mexico,Tlalnepantla de Baz,si,si,no
0120-09-15,Hospital Veterinario de Alta Especialidad Sc,Ciudad de Mexico,Benito Juarez,no,no,si
0121-02-15,Jury Raygoza Saldivar,Baja California,Tijuana,si,si,no
0122-09-15,Norma Alejandra Azpiroz Villanueva,Ciudad de Mexico,Magdalena Contreras,si,no,si
0123-02-15,Maria Anita Garcia,Baja California,Tijuana,si,no,no
0124-09-15,Arturo Albiter Flores,Ciudad de Mexico,Tlalpan,si,si,si
0125-09-15,Animal Home Mexico S de Rl de CV,Ciudad de Mexico,Tlalpan,si,si,si
0126-14-15,Ignacio Hernandez Diaz,Jalisco,Zapopan,si,no,si
0127-02-15,Estela Camacho Castro,Baja California,Mexicali,si,si,no
0128-02-15,Daniel Graciano Gonzalez,Baja California,Mexicali,si,si,si
0129-15-15,Gerardo Garza Malacara,Mexico,Tlalnepantla de Baz,si,no,si
0130-02-15,Gonzalo Aldama Duarte,Baja California,Mexicali,no,si,no
0131-02-15,Alma Merary Rios Delgado,Baja California,Mexicali,no,si,no
0132-02-15,Jair Enrique Fuentes Castro,Baja California,Mexicali,si,si,no
0133-09-15,Mirtha Yadira Carranza Flores,Ciudad de Mexico,Milpa Alta,si,si,no
0134-02-15,Ma de Los Angeles Hernandez Lopez,Baja California,Mexicali,si,no,no
0135-02-15,Paola Mariana Arroyo Garcia,Baja California,Mexicali,no,si,no
0136-09-15,Victor Perez Sea,Ciudad de Mexico,Iztacalco,si,si,no
0137-02-15,Central Express de Control de Plagas SA de CV,Baja California,Mexicali,si,si,no
0138-01-15,Enrique Javier Argüelles Mora,Aguascalientes,Aguascalientes,si,si,si
0139-02-15,Teofilo Ortega Salazar,Baja California,Mexicali,si,si,no
0142-01-15,Claudia Veronica Vicencio Reyes,Aguascalientes,Aguascalientes,si,si,no
0143-02-15,Nora Maria Cardenas Alvarez,Baja California,Mexicali,si,si,no
0144-02-15,Perez Silva Aurelio,Baja California,Mexicali,si,si,no
0145-02-15,Ma Bernardina Perez Silva,Baja California,Mexicali,si,si,no
0146-02-15,Maria Guadalupe Silvia Cuellar Montenegro,Baja California,Mexicali,no,si,no
0148-02-15,Perez Escobar Mara Armida,Baja California,Mexicali,no,si,no
0149-12-15,Maciel Vargas Rosa Maria,Guerrero,Zihuatanejo de Azueta,no,si,no
0150-12-15,Salvador Campos Aburto,Guerrero,Zihuatanejo de Azueta,no,si,no
0151-12-15,Galeana Castro Vicente,Guerrero,Zihuatanejo de Azueta,no,si,no
0152-12-15,Santana Vazquez Angelica,Guerrero,Zihuatanejo de Azueta,no,si,no
0153-02-15,Acosta Bojorquez Eleazar,Baja California,Mexicali,si,si,si
0154-21-15,Perez Rosales Ruperto,Puebla,San Salvador Huixcolotla,no,si,no
0155-21-15,Sara Leticia Hernandez Hernandez,Puebla,Atlixco,si,si,si
0156-21-15,Sara Alicia Pacheco Ortiz,Puebla,Tehuacan,si,si,no
0157-09-15,Adan Garcia Rosas,Ciudad de Mexico,Iztapalapa,no,no,no
0158-09-15,Felipe Alberto Delgado Delgado,Ciudad de Mexico,Benito Juarez,si,si,no
0159-09-15,Mouret Rodriguez Claudio Enrique Emmanuel,Ciudad de Mexico,Iztacalco,si,no,no
0161-13-15,Luz Maria Carmona Andrade,Hidalgo,Tulancingo,no,si,no
0162-15-15,Francisco Hugo Martinez Diego,Mexico,Nezahualcoyotl,si,si,si
0163-12-15,Hernandez Franco Celestino,Guerrero,Zitacuaro,no,si,no
0165-09-15,Silvia Ruiz Villalon,Ciudad de Mexico,Iztacalco,si,no,no
0166-15-15,Ariel Fernando Saldivar Flores,Mexico,Tlalnepantla,si,si,no
0167-30-15,Antonio Quinto Diez,Veracruz,San Andres Tuxtla,si,si,no
0169-25-15,Grupo Prostasa de Mexico SA de CV,Baja California,Mexicali,si,si,si
0170-22-15,Ma Teresa Garcia Jimenez,Queretaro,Queretaro,si,si,no
0172-09-15,Garcia Ponce Tito Livio,Ciudad de Mexico,Tlalpan,si,si,no
0173-09-15,Bernardo Chavez Roqueni,Ciudad de Mexico,Coyoacan,si,si,si
0174-06-15,Claudia Estefania Olvera Torres,Colima,Colima,si,si,no
0179-09-15,Cristobal Topete Barrera,Ciudad de Mexico,Tlalpan,no,no,no
0180-02-15,Rios Perez Sergio,Baja California,Mexicali,si,si,no
0181-21-15,Vergara Lopez Jose Gregorio,Puebla,Tecali de Herrera,no,si,no
0182-21-15,Jose Luis Munoz Lopez,Puebla,Tochtepec,no,no,no
0184-09-15,Cinthia Acosta Villegas,Ciudad de Mexico,Benito Juarez,si,si,no
0185-09-15,Cecilia Concepcion Avalos Santiago,Ciudad de Mexico,Benito Juarez,si,si,no
0186-22-15,Hospital Para Mascotas SA de CV,Queretaro,Queretaro,si,no,si
0187-16-15,Anouk Darlene Ochoa Chavez,Michoacan,Uruapan,no,si,no
0188-16-15,Hugo Ernesto Gil Villa,Michoacan,Morelia,si,no,no
0189-16-15,Yhazmin Eugenia Pineda Rosales,Michoacan,Morelia,si,si,si
0190-16-15,Maria del Rocio Alvarez Heredia,Michoacan,Los Reyes,no,si,no
0191-16-15,Fernando Carrillo Arteaga,Michoacan,Uruapan,no,si,no
0192-16-15,Maria Guadalupe Gutierrez Cancino,Michoacan,Morelia,si,no,no
0193-02-15,Lorena Saborit Castro,Baja California,Tijuana,si,no,si
0194-02-15,Aviles Valenzuela Miguel,Baja California,Mexicali,si,si,si
0195-02-15,Alma Angelina Castellanos Felix,Baja California,Mexicali,si,si,no
0196-02-15,Claudia Acosta Grajeda,Baja California,Tijuana,si,si,no
0196-02-15,Claudia Acosta Grajeda,Baja California,Tijuana,si,si,no
0197-02-15,Cesar Wilfredo Solorzano Hernandez,Baja California,Tijuana,si,no,si
0198-02-15,Jose Antonio Pinto Cruz,Baja California,Tijuana,no,si,no
0200-09-15,Alanis Vallarta Miguel Angel,Ciudad de Mexico,Xochimilco,si,no,no
0201-14-15,America Dalia Moya Gaona,Jalisco,Guadalajara,si,si,no
0202-14-15,Maria Guadalupe Herrera Andrade,Jalisco,Zapopan,si,si,no
0203-14-15,Silvia Lizette Benitez Miranda,Jalisco,Jalisco,si,no,no
0204-14-15,Jose Luis Torres Sanchez,Jalisco,Zapopan,si,no,no
0205-14-15,Arturo Jimenez Garcia,Jalisco,Zapopan,si,si,no
0206-14-15,Edith Rodarte Gonzalez,Jalisco,Guadalajara,si,no,si
0207-09-15,Ruiloba Ausin Fernando Eduardo,Ciudad de Mexico,Miguel Hidalgo,si,no,no
0209-09-15,Itzcuitlan SA de CV,Ciudad de Mexico,Miguel Hidalgo,si,si,si
0210-15-15,Natazhimi Dog & Tanyerin Cat SA de CV,Mexico,Huixquilucan,si,si,si
0211-05-15,Mascotas y Mas SA de CV,Coahuila,Saltillo,si,si,si
0212-05-15,Hector Adolfo Medina Romo,Coahuila,Saltillo,si,si,si
0213-13-15,Maria Judith Pacheco Gutierrez,Hidalgo,Tizayuca,no,si,no
0214-09-15,Knoth Fierro Lidia,Ciudad de Mexico,Iztacalco,si,si,no
0215-02-15,Arcega Saboria Jose Guillermo,Baja California,Mexicali,si,si,no
0216-02-15,Jose Luis Flores Ramos,Baja California,Mexicali,no,si,si
0217-02-15,Alicia Andrea Felix Alvarez,Baja California,Ensenada,si,si,no
0218-14-15,Cordova Estrada Gloria Edith,Jalisco,Sayula,si,si,si
0222-06-15,Gilberto Isidro Arana Govea,Colima,Manzanillo,si,si,si
0225-14-15,Daniela Alton Zepeda,Jalisco,Guadalajara,si,si,si
0228-15-15,Erick Alberto Lopez Hernandez,Mexico,Coacalco de Berriozabal,si,no,no
0229-09-15,Jose Alvaro Zugarazo Lecona,Ciudad de Mexico,Tlalpan,si,si,si
0234-09-15,Oftalvet Servicio Veterinario SA de CV,Ciudad de Mexico,Benito Juarez,si,si,si
0235-09-15,Sandra Mariana Hernandez Garcia,Ciudad de Mexico,Tlalpan,si,si,no
0236-09-15,Roberto Armando Rojo Botello,Ciudad de Mexico,Azcapotzalco,si,si,no
0237-09-15,Raymundo Razo Barragan,Ciudad de Mexico,Tlalpan,si,si,no
0238-22 -15,Jose Arturo Alvarez Vargas,Queretaro,Queretaro,no,no,no
0239-04-15,Julio Cesar Calcaneo Priego,Campeche,Escarcega,no,si,no
0240-14-15,Patricia Oropeza Lopez,Jalisco,Teocaltiche,si,si,no
0241-09-15,Angelica Martinez Galicia,Ciudad de Mexico,Cuauhtemoc,si,si,no
0242-09-15,Gonzalez Oliver Sergio,Ciudad de Mexico,Coyoacan,si,si,si
0243-09-15,Arturo Jorge Cortes Iracheta,Ciudad de Mexico,Cuauhtemoc,si,si,si
0244-09-15,Guadalupe Veronica Delgado Hernandez,Ciudad de Mexico,Benito Juarez,si,si,si
0245-09-15,Jimenez Morales Carlos,Ciudad de Mexico,Gustavo a Madero,si,si,no
0246-30-15,Distribuidor Veterinario San Juan SA de CV,Veracruz,Oluta,si,si,no
0247-16-15,Eva Hernandez Calvillo,Michoacan,Patzcuaro,si,si,no
0247-16-15,Ignacio Hernandez Diaz,Jalisco,Zapopan,no,no,si
0248-05-15,Isidoro Gamez Cano,Coahuila,Parras,no,si,no
0250-27-15,Juan Carlos Magana Ramon,Tabasco,Cunduacan,no,si,no
0251-05-15,Gerardo Luis Gonzalez Saucedo,Coahuila,Saltillo,si,si,no
0252-09-15,Ortiz Martinez Hector Manuel,Ciudad de Mexico,Magdalena Contreras,si,si,no
